product_id,category,product_name,unit_price_usd
668,Tecnología,Teléfono Xiaomi,289.99
246,Tecnología,Laptop Lenovo IdeaPad,499.0
175,Tecnología,Auriculares Bluetooth Sony,79.5
29,Tecnología,Monitor LG 24'',169.0
194,Tecnología,Teclado Mecánico RGB,95.0
139,Tecnología,Mouse Gamer Logitech,59.99
423,Tecnología,Tablet Samsung Galaxy Tab,229.0
22,Tecnología,Cámara Web Full HD,47.99
153,Tecnología,Smartwatch Amazfit Bip,89.9
784,Tecnología,Disco SSD 512GB Kingston,74.9
540,Tecnología,Impresora Multifunción HP,135.0
466,Tecnología,Parlante Inteligente Alexa,65.0
435,Tecnología,Repetidor WiFi TP-Link,29.99
678,Tecnología,Procesador AMD Ryzen 5,199.99
604,Tecnología,Memoria RAM DDR4 16GB,84.0
289,Tecnología,Disco Duro Externo 1TB Seagate,59.99
691,Tecnología,"Monitor Curvo Samsung 27""",229.9
504,Tecnología,Cargador Rápido USB-C,22.0
661,Tecnología,Cable HDMI 2m,9.5
793,Tecnología,Soporte para Laptop Ajustable,17.9
593,Alimentos,Arroz Integral 1kg,2.3
158,Alimentos,Café Molido Colombiano,5.99
320,Alimentos,Galletas de Avena,1.75
191,Alimentos,Jugo Natural de Naranja 1L,2.5
373,Alimentos,Yogur Griego Natural,1.9
573,Alimentos,Mantequilla de Maní 500g,3.75
114,Alimentos,Cereal Integral,3.2
794,Alimentos,Pasta de Trigo Duro 500g,1.5
67,Alimentos,Aceite de Oliva Virgen 250ml,6.4
734,Alimentos,Leche Deslactosada 1L,1.8
277,Ropa,Camiseta de Algodón Hombre,12.99
781,Ropa,Pantalón Jean Mujer,28.5
651,Ropa,Chaqueta Impermeable,49.9
623,Ropa,Zapatillas Urbanas,39.99
400,Ropa,Medias Deportivas (Pack x3),5.9
99,Ropa,Camisa Formal Manga Larga,24.99
571,Ropa,Ropa Interior Hombre (Pack x2),7.8
853,Ropa,Falda Plisada Mujer,18.6
822,Ropa,Chaqueta Jean Clásica,34.7
472,Ropa,Leggings Deportivos,16.2
679,Salud,Paracetamol 500mg (Caja x20),2.1
823,Salud,Termómetro Digital,8.99
383,Salud,Alcohol Antiséptico 250ml,1.3
